EBA,spei,BA,Other_species,Invader,resister,avoider,embracer,endurer
0.0,-2.4996712930703433,0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.499394139458083,0.0775,0.0,0.0,0.0,0.0,0.0,0.0
0.004374843537807465,-2.3196886587289596,0.015,0.001380012482404709,0.0,0.00024389099329710006,0.0011361216008663178,0.0,0.0
0.0,-2.313266257501364,0.0725,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.297866638410984,0.405,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.298050327199359,0.3825,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.3104381507957563,0.5225,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.3218479403035324,0.3275,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.3261373455753507,0.005,0.0,0.0,0.0,0.0,0.0,0.0
0.038602302074432375,-2.4332294616927004,0.065,0.0,0.0,0.0,0.0,0.0,0.0
0.007074999809265137,-2.4175874886038047,0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.5574844382130886,0.0375,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.566987013494618,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.5737651742245693,0.0275,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.570257796962678,0.015,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.564932858581724,0.0775,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.561513753381815,0.035,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.556432105003822,0.0325,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.5574859934703507,0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.5559589207162055,0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.552637702900325,0.075,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.54781266242087,0.0675,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.540573479578335,0.17,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.5437293755495225,0.245,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.5425856784589516,0.015,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.5352732382058156,0.135,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.5252671873546313,0.035,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.1751874113796803,0.045,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.1692624151986335,0.0575,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.1560106610574734,0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.154675317189848,0.045,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-1.837384687145214,0.0175,0.0,0.0,0.0,0.0,0.0,0.0
0.002115444839000702,-2.4001772390796634,0.015,0.004131109118461609,0.0,0.0019938908517360687,0.0020974311232566834,0.0,0.0
0.003433740735054016,-2.376959385451168,0.015,0.001691102832555771,0.0,0.0009158834069967269,0.0007752193510532379,0.0,0.0
0.025231359004974366,-2.394538190064042,0.03,4.1666626930236814e-05,0.0,0.0,4.1666668839752677e-05,0.0,0.0
0.019690790176391602,-2.392670263108798,0.04,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.3844550592023306,0.145,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.3781338938117855,0.8625,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.3701143640229305,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.366012617594742,0.985,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.3690215228760185,0.955,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.3778481472304556,0.56,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.3823051925487024,0.005,0.0,0.0,0.0,0.0,0.0,0.0
0.0074720394611358645,-2.4090711150958275,0.0125,0.0,0.0,0.0,0.0,0.0,0.0
0.006443750262260437,-2.399665139047221,0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.626352991778122,0.0125,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.6118116073635633,0.015,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.599535606299013,0.065,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.6155236716118204,0.105,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.6240603854824998,0.035,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.630440380068873,0.0075,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.6364413926967987,0.06,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.636643314714018,0.3575,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.6353822860631406,0.255,0.0,0.0,0.0,0.0,0.0,0.0
