year,area,threshold,model
2087,112024210131214.06,n21,ipsl
2088,29357118711096.06,n21,ipsl
2089,109164738406142.98,n21,ipsl
2090,153294841413667.3,n21,ipsl
2091,98951372240632.97,n21,ipsl
2092,97564886156606.83,n21,ipsl
2093,132043683818414.25,n21,ipsl
2094,65062532726661.28,n21,ipsl
2095,80645669292222.0,n21,ipsl
2096,89723056969368.84,n21,ipsl
2097,81099773464023.14,n21,ipsl
2098,132662916981602.86,n21,ipsl
2099,157435133293821.47,n21,ipsl
2100,155104758768672.03,n21,ipsl
2031,37047776529193.59,n21,mpi
2032,3327725159490.4844,n21,mpi
2033,6949601478629.41,n21,mpi
2034,21465070872748.523,n21,mpi
2035,27999775066223.812,n21,mpi
2036,12911489418208.457,n21,mpi
2037,23065958414347.508,n21,mpi
2038,41833043236814.6,n21,mpi
2039,5438197776227.1875,n21,mpi
2040,2328047918934.479,n21,mpi
2041,7677973594528.06,n21,mpi
2042,20053642641206.19,n21,mpi
2043,22106317624720.54,n21,mpi
2044,61559549079612.41,n21,mpi
2045,15154370500724.705,n21,mpi
2046,16455091347185.973,n21,mpi
2047,8295676653357.314,n21,mpi
2048,40028139989018.35,n21,mpi
2049,25118187708856.258,n21,mpi
2050,14521324409086.887,n21,mpi
2051,75046342968375.14,n21,mpi
2052,7822334373661.971,n21,mpi
2053,31066025533089.6,n21,mpi
2054,19710842249697.766,n21,mpi
2055,45964347182130.72,n21,mpi
2056,24151527458689.723,n21,mpi
2057,6134751529193.809,n21,mpi
2058,42714894605126.14,n21,mpi
2059,28721696639435.83,n21,mpi
2060,5829771031688.107,n21,mpi
2061,81006756282913.7,n21,mpi
2062,18572478233635.926,n21,mpi
2063,68566215714609.625,n21,mpi
2064,16555746659736.617,n21,mpi
2065,39305575166336.78,n21,mpi
2066,10052349358651.96,n21,mpi
2067,81795642650566.33,n21,mpi
2068,11690123841302.842,n21,mpi
2069,81310948043547.17,n21,mpi
2070,19487631048128.05,n21,mpi
2071,9151692213978.045,n21,mpi
2072,38355197758360.47,n21,mpi
2073,28492069882544.047,n21,mpi
2074,21555289265853.953,n21,mpi
2075,17033915968637.055,n21,mpi
2076,115214365057322.6,n21,mpi
2077,16646351148532.387,n21,mpi
2078,108178010441774.83,n21,mpi
2079,49820796667421.484,n21,mpi
2080,38252622635191.3,n21,mpi
2081,59782235094125.81,n21,mpi
2082,52362470917714.69,n21,mpi
2083,13816485126466.406,n21,mpi
2084,29371991020712.64,n21,mpi
2085,17435156786400.809,n21,mpi
2086,69773441858890.71,n21,mpi
2087,30609243309379.77,n21,mpi
2088,64494468881036.86,n21,mpi
2089,109617526599558.5,n21,mpi
2090,132689438436576.16,n21,mpi
2091,56889946705347.125,n21,mpi
2092,63137665639655.08,n21,mpi
2093,86839567255617.1,n21,mpi
2094,16751109670972.383,n21,mpi
2095,35713312100209.48,n21,mpi
2096,116711806546157.28,n21,mpi
2097,96079804850655.89,n21,mpi
2098,70693379246657.86,n21,mpi
2099,63684596125613.23,n21,mpi
2100,73235312738755.62,n21,mpi
2031,24621553787063.46,n15,gfdl
2032,28906850220340.75,n15,gfdl
2033,29728242465818.54,n15,gfdl
2034,26678803064346.15,n15,gfdl
2035,24474848775929.152,n15,gfdl
2036,47768971593605.71,n15,gfdl
2037,15210984687392.361,n15,gfdl
2038,70553553276570.16,n15,gfdl
2039,53055862773800.02,n15,gfdl
2040,16723892733129.3,n15,gfdl
2041,31072711512210.977,n15,gfdl
2042,23247891573411.97,n15,gfdl
2043,58501480937513.59,n15,gfdl
2044,68164893180634.5,n15,gfdl
2045,61647295655493.77,n15,gfdl
2046,12500988345525.23,n15,gfdl
2047,55539782602509.0,n15,gfdl
2048,122226576520223.06,n15,gfdl
2049,67797866613499.38,n15,gfdl
2050,28825465351603.496,n15,gfdl
2051,65586439167428.2,n15,gfdl
2052,54621671605660.64,n15,gfdl
2053,67566104018424.41,n15,gfdl
2054,27436178338209.312,n15,gfdl
2055,60271036141492.94,n15,gfdl
2056,36724301890578.42,n15,gfdl
2057,32247748349496.26,n15,gfdl
2058,40305782154784.94,n15,gfdl
2059,66963685658927.24,n15,gfdl
2060,94831048128691.75,n15,gfdl
2061,35142293043901.7,n15,gfdl
2062,19993952366658.164,n15,gfdl
2063,43104025520811.03,n15,gfdl
2064,42218426933839.91,n15,gfdl
2065,46643874027580.62,n15,gfdl
2066,38381757105640.72,n15,gfdl
2067,37325974073595.84,n15,gfdl
2068,43852990876641.016,n15,gfdl
2069,56101312897867.14,n15,gfdl
2070,75266881714552.56,n15,gfdl
2071,45429670561243.77,n15,gfdl
2072,46466688960178.805,n15,gfdl
2073,66643589825395.68,n15,gfdl
2074,70267520821067.63,n15,gfdl
2075,32199752918828.508,n15,gfdl
2076,39055727077780.64,n15,gfdl
2077,29948052056429.562,n15,gfdl
2078,71847819451557.81,n15,gfdl
2079,53653486033610.266,n15,gfdl
2080,66929177994152.16,n15,gfdl
2081,38669125636540.05,n15,gfdl
2082,73327252912246.31,n15,gfdl
2083,45675249962750.86,n15,gfdl
2084,108780267226236.12,n15,gfdl
2085,117592577254295.6,n15,gfdl
2086,83708733038595.39,n15,gfdl
2087,107430465786334.33,n15,gfdl
2088,35997813498752.88,n15,gfdl
2089,130305288555707.12,n15,gfdl
2090,64281195097232.54,n15,gfdl
2091,75541733143842.1,n15,gfdl
2092,86850788303799.38,n15,gfdl
2093,104162598605314.8,n15,gfdl
2094,108006583869096.28,n15,gfdl
2095,98586623418172.56,n15,gfdl
2096,56259132387956.41,n15,gfdl
2097,100364834570568.08,n15,gfdl
2098,82609467270477.98,n15,gfdl
2099,137575524352412.6,n15,gfdl
2100,83462353982069.4,n15,gfdl
2031,17889881411386.594,n15,mri
2032,13770052696681.984,n15,mri
2033,5428577651491.113,n15,mri
2034,10481486038281.477,n15,mri
2035,26254210162937.336,n15,mri
2036,19660727098547.844,n15,mri
2037,43591263260813.13,n15,mri
2038,39572467219409.99,n15,mri
2039,12668048653655.771,n15,mri
2040,4899293609550.564,n15,mri
2041,11576852658027.34,n15,mri
2042,10295742347146.748,n15,mri
2043,27434395663410.312,n15,mri
2044,7629678979132.441,n15,mri
2045,18038892783981.516,n15,mri
2046,3398156496638.872,n15,mri
2047,9445398998275.77,n15,mri
2048,17572300665362.514,n15,mri
