year,area,threshold,model
2032,169652528773.8105,n21,gfdl
2033,222248019790.40396,n21,gfdl
2034,160839071340.87122,n21,gfdl
2035,153003608973.88724,n21,gfdl
2036,251105684808.3656,n21,gfdl
2037,79862380680.77856,n21,gfdl
2038,303022184083.38934,n21,gfdl
2039,295096002637.26074,n21,gfdl
2040,170696342678.26984,n21,gfdl
2041,147003480827.09128,n21,gfdl
2042,128018512651.27353,n21,gfdl
2043,305768116865.5729,n21,gfdl
2044,935971260212.4827,n21,gfdl
2045,377718497487.74115,n21,gfdl
2046,130139475206.16118,n21,gfdl
2047,630956640493.7577,n21,gfdl
2048,1107980590785.8574,n21,gfdl
2049,365677167716.60144,n21,gfdl
2050,232429009091.27246,n21,gfdl
2051,738910758375.3473,n21,gfdl
2052,373624778636.4889,n21,gfdl
2053,548972272493.89844,n21,gfdl
2054,149702651035.31024,n21,gfdl
2055,541330084418.93695,n21,gfdl
2056,113724150419.36101,n21,gfdl
2057,311230159689.197,n21,gfdl
2058,379201135234.76086,n21,gfdl
2059,427803199117.05585,n21,gfdl
2060,1030499571766.3384,n21,gfdl
2061,258982525752.0862,n21,gfdl
2062,194979529968.7451,n21,gfdl
2063,488148973079.9459,n21,gfdl
2064,275727323669.1594,n21,gfdl
2065,345403690881.92194,n21,gfdl
2066,259906397052.73572,n21,gfdl
2067,314359592695.1179,n21,gfdl
2068,418022749890.88,n21,gfdl
2069,454162333184.33014,n21,gfdl
2070,719216621780.0115,n21,gfdl
2071,202071375388.8193,n21,gfdl
2072,283690226549.6593,n21,gfdl
2073,739679380676.8662,n21,gfdl
2074,431258940051.0158,n21,gfdl
2075,241892371946.53635,n21,gfdl
2076,264649040109.1493,n21,gfdl
2077,118268080693.24908,n21,gfdl
2078,491403402911.15674,n21,gfdl
2079,482292666558.0096,n21,gfdl
2080,544171183100.8955,n21,gfdl
2081,322764547507.81714,n21,gfdl
2082,1155717415116.3284,n21,gfdl
2083,518705095799.1334,n21,gfdl
2084,912723997217.6426,n21,gfdl
2085,1671887481334.332,n21,gfdl
2086,746068332173.9885,n21,gfdl
2087,1032903091041.4803,n21,gfdl
2088,211530926661.24414,n21,gfdl
2089,1330508842805.6724,n21,gfdl
2090,470686079149.57465,n21,gfdl
2091,371413231983.32214,n21,gfdl
2092,937062942338.4208,n21,gfdl
2093,608220075812.8092,n21,gfdl
2094,924672364130.1404,n21,gfdl
2095,1110164937291.6206,n21,gfdl
2096,517744121018.1363,n21,gfdl
2097,1288488768044.7798,n21,gfdl
2098,746576465524.8956,n21,gfdl
2099,1530555964188.0137,n21,gfdl
2100,998268924446.4001,n21,gfdl
2031,1710222494393.9858,n15,mpi
2032,423256838783.626,n15,mpi
2033,615077940888.3003,n15,mpi
2034,958791168027.0966,n15,mpi
2035,1700376375577.4482,n15,mpi
2036,1336696107551.4563,n15,mpi
2037,1441951101706.522,n15,mpi
2038,2215507517979.143,n15,mpi
2039,530431232575.02734,n15,mpi
2040,366074826727.2461,n15,mpi
2041,664507508260.6284,n15,mpi
2042,1257664308659.0442,n15,mpi
2043,1690555381350.5278,n15,mpi
2044,2597867045709.747,n15,mpi
2045,1188769573713.8804,n15,mpi
2046,1216434442833.7874,n15,mpi
2047,513585990670.82947,n15,mpi
2048,1750649003467.1953,n15,mpi
2049,1652659340593.145,n15,mpi
2050,1301231718867.8481,n15,mpi
2051,2824675034891.4424,n15,mpi
2052,745260043313.797,n15,mpi
2053,1826714858498.3723,n15,mpi
2054,1338906413171.38,n15,mpi
2055,2033175154916.0083,n15,mpi
2056,1711167745196.2612,n15,mpi
2057,679688511689.4958,n15,mpi
2058,1770604077112.9878,n15,mpi
2059,1901666976833.4185,n15,mpi
2060,702805277235.9312,n15,mpi
2061,2997943628067.769,n15,mpi
2062,1525898513813.4604,n15,mpi
2063,3061343670074.3613,n15,mpi
2064,1071271308656.0581,n15,mpi
2065,2263702062155.9316,n15,mpi
2066,877188715182.4641,n15,mpi
2067,3041831008224.5444,n15,mpi
2068,1089437573768.9987,n15,mpi
2069,2378044562288.9014,n15,mpi
2070,1321914266927.49,n15,mpi
2071,931541077100.2394,n15,mpi
2072,2291392713712.6997,n15,mpi
2073,1576334757045.0483,n15,mpi
