year,area,threshold,model
2060,15866995983909.238,n21,gfdl
2061,21971020263846.543,n21,gfdl
2062,13586841573079.059,n21,gfdl
2063,11876598897766.93,n21,gfdl
2064,32515124485087.242,n21,gfdl
2065,17516167770606.398,n21,gfdl
2066,18351510077638.062,n21,gfdl
2067,12763003481348.941,n21,gfdl
2068,11902861688611.434,n21,gfdl
2069,27574507537859.703,n21,gfdl
2070,24889872573337.285,n21,gfdl
2071,19731179448513.887,n21,gfdl
2072,40764005540493.02,n21,gfdl
2073,9664890875991.613,n21,gfdl
2074,63204101941758.61,n21,gfdl
2075,25052732532381.316,n21,gfdl
2076,18321298287738.08,n21,gfdl
2077,52942935382707.64,n21,gfdl
2078,7278126253231.018,n21,gfdl
2079,17323350036544.127,n21,gfdl
2080,11493505168879.645,n21,gfdl
2081,23469748975072.195,n21,gfdl
2082,28520716086343.652,n21,gfdl
2083,28933837266384.496,n21,gfdl
2084,28147286106124.035,n21,gfdl
2085,31112057194307.418,n21,gfdl
2086,14809340193549.152,n21,gfdl
2087,9894828551055.533,n21,gfdl
2088,7863208633025.453,n21,gfdl
2089,40302788898242.64,n21,gfdl
2090,39527386944445.19,n21,gfdl
2091,10071484967066.062,n21,gfdl
2092,6646155993792.522,n21,gfdl
2093,61123791870713.92,n21,gfdl
2094,52859476525452.76,n21,gfdl
2095,17996113562139.56,n21,gfdl
2096,19021774519539.67,n21,gfdl
2097,30560430704541.92,n21,gfdl
2098,50443399635851.16,n21,gfdl
2099,22111525528157.164,n21,gfdl
2100,27902386669838.277,n21,gfdl
